max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
119,0.1366119,0.06820318,3,63,0,3,3,3,145,0.9445819999999999,0.007129000000000001,0.461078,0.0577,137,197200
120,0.1135120,0.01860814,3,119,0,2,4,7,45,0.802258,0.0030106,0.073854,0.03322,89,165200
121,0.1886121,0.0070093,2,53,0,4,6,7,33,0.8596659999999999,0.0006742000000000001,0.47505,0.05482000000000001,163,161200
122,0.1135122,0.00340966,2,94,0,3,3,5,152,0.90033,0.007802199999999999,0.441118,0.01846,168,22001
123,0.1135123,0.00540946,1,41,1,4,5,5,87,0.872822,0.005940999999999999,0.337326,0.08866,150,44401
124,0.1135124,0.0030096999999999997,4,21,0,2,3,5,42,0.890762,0.0036046,0.467066,0.0685,94,108400
125,0.1135125,0.03820618,3,52,1,4,5,7,73,0.772358,0.0042778,0.363274,0.09514,138,70801
126,0.1135126,0.0610039,4,43,1,2,2,7,151,0.75681,0.007921,0.147706,0.07678,155,190000
127,0.1135127,0.01940806,4,54,0,3,6,5,165,0.866842,0.0098614,0.161678,0.0919,112,66001
128,0.2078128,0.01340866,2,4,0,3,2,3,113,0.809434,0.0041194,0.051898,0.0739,90,167600
129,0.1135129,0.03380662,3,121,0,3,5,5,111,0.970894,0.008435799999999999,0.039922000000000006,0.07174,125,192400
130,0.1509130,0.03180682,2,112,1,4,6,3,126,0.9828540000000001,0.006495399999999999,0.259482,0.05194,110,138000
131,0.1648131,0.06780322,4,37,1,3,5,7,60,0.976874,0.0018622,0.059882000000000005,0.04438,107,151600
132,0.1694132,0.00620938,4,13,0,3,4,7,183,0.769966,0.0064161999999999995,0.439122,0.0883,151,73201
133,0.1135133,0.06580342,2,116,0,3,3,5,164,0.8752139999999999,0.0020998,0.041918000000000004,0.041139999999999996,93,25201
134,0.1135134,0.01220878,1,70,1,2,2,5,127,0.885978,0.008000199999999999,0.09780599999999999,0.02638,86,113200
135,0.1135135,0.05980402,2,45,0,3,5,3,96,0.814218,0.0043174,0.24151799999999998,0.04798,194,55601
136,0.3586136,0.05620438,2,27,1,3,4,3,141,0.940994,0.001585,0.44710600000000006,0.01126,104,82001
137,0.1135137,0.09740026,5,117,1,2,2,7,24,0.932622,0.0038818000000000004,0.46507,0.08146,167,103600
138,0.1135138,0.051004900000000006,4,46,0,3,4,7,89,0.712558,0.0050698,0.139722,0.04906,181,145200
139,0.1135139,0.04380562,1,64,0,4,3,5,111,0.766378,0.0028918000000000004,0.009982,0.09802000000000001,131,105200
140,0.1135140,0.08380162,4,24,1,3,3,5,78,0.8608620000000001,0.00031779999999999997,0.383234,0.09477999999999999,115,18801
141,0.1135141,0.00780922,3,26,0,4,2,5,26,0.9685020000000001,0.0069706,0.327346,0.07606,186,146800
142,0.1135142,0.07660234,3,109,1,4,5,5,67,0.975678,0.0026146,0.393214,0.06454,102,124400
143,0.1345143,0.07820218,1,24,0,3,6,7,85,0.9637180000000001,0.0015454000000000002,0.349302,0.05878,122,6801
144,0.1337144,0.06940306,5,113,0,3,3,3,99,0.877606,0.0068914,0.33533,0.09082,78,98801
145,0.1135145,0.01980802,1,75,1,2,4,5,130,0.9110940000000001,0.007881399999999998,0.39521,0.03358,113,42801
146,0.1453146,0.06140386,3,120,1,3,5,3,26,0.956542,0.0047926,0.20958200000000002,0.0469,162,74801
147,0.1135147,0.06260374,2,22,0,3,5,5,35,0.7269100000000001,0.0074854,0.09581,0.02206,120,155600
148,0.1135148,0.07620238,3,71,1,3,4,5,176,0.9529540000000001,0.004555,0.23952199999999998,0.09658,144,34001
149,0.1135149,0.0250075,4,81,0,2,3,5,198,0.735282,0.007326999999999999,0.437126,0.06346,128,179600
150,0.1135150,0.01140886,1,14,0,2,6,5,199,0.8692340000000001,0.0074062,0.329342,0.08974,146,2801
151,0.1159151,0.00580942,3,34,0,4,6,5,121,0.857274,0.0040402,0.26147800000000004,0.04834,161,110000
152,0.1135152,0.01420858,5,14,1,2,3,5,41,0.803454,0.0041986,0.309382,0.08073999999999999,93,69201
